
=== LOGISTIC REGRESSION - 100 x STRATIFIED K-FOLD ===

=== LOGISTIC REGRESSION - 100 x STRATIFIED K-FOLD ===

Run 1
Fold 7: 0.944648
Fold 8: 0.939653
Fold 9: 0.940367
Fold 10: 0.944241
Meso Accuracy: 0.943285

Run 40
Fold 1: 0.945877
Fold 2: 0.946285
Fold 3: 0.945979
Fold 4: 0.944348
Fold 5: 0.943323
Fold 6: 0.943425
Fold 7: 0.942304
Fold 8: 0.943017
Fold 9: 0.942304
Fold 10: 0.944444
Meso Accuracy: 0.944131

Run 41
Fold 1: 0.942310
Fold 2: 0.941596
Fold 3: 0.942208
Fold 4: 0.942615
Fold 5: 0.946993
Fold 6: 0.941692
Fold 7: 0.940367
Fold 8: 0.948318
Fold 9: 0.943527
Fold 10: 0.945973
Meso Accuracy: 0.943560

Run 42
Fold 1: 0.943533
Fold 2: 0.943839
Fold 3: 0.941902
Fold 4: 0.943533
Fold 5: 0.945566
Fold 6: 0.942712
Fold 7: 0.946177
Fold 8: 0.942508
Fold 9: 0.941488
Fold 10: 0.947299
Meso Accuracy: 0.943856

Run 43
Fold 1: 0.943329
Fold 2: 0.943533
Fold 3: 0.943431
Fold 4: 0.945266
Fold 5: 0.939042
Fold 6: 0.944444
Fold 7: 0.941794
Fold 8: 0.945158
Fold 9: 0.942915
Fold 10: 0.945362
Meso Accuracy: 0.943427

Run 44
Fold 1: 0.943023
Fold 2: 0.942514
Fold 3: 0.946387
Fold 4: 0.940883
Fold 5: 0.947299
Fold 6: 0.942915
Fold 7: 0.946279
Fold 8: 0.942202
Fold 9: 0.944444
Fold 10: 0.944852
Meso Accuracy: 0.944080

Run 45
Fold 1: 0.943533
Fold 2: 0.942310
Fold 3: 0.941392
Fold 4: 0.943023
Fold 5: 0.940979
Fold 6: 0.947095
Fold 7: 0.946279
Fold 8: 0.944241
Fold 9: 0.942610
Fold 10: 0.943221
Meso Accuracy: 0.943468

Run 46
Fold 1: 0.946692
Fold 2: 0.942412
Fold 3: 0.942310
Fold 4: 0.946591
Fold 5: 0.946993
Fold 6: 0.941488
Fold 7: 0.943221
Fold 8: 0.945362
Fold 9: 0.942915
Fold 10: 0.943935
Meso Accuracy: 0.944192

Run 47
Fold 1: 0.946692
Fold 2: 0.939558
Fold 3: 0.944552
Fold 4: 0.945469
Fold 5: 0.944444
Fold 6: 0.942202
Fold 7: 0.941386
Fold 8: 0.943629
Fold 9: 0.942202
Fold 10: 0.940979
Meso Accuracy: 0.943111

Run 48
Fold 1: 0.943023
Fold 2: 0.942921
Fold 3: 0.949750
Fold 4: 0.944246
Fold 5: 0.941896
Fold 6: 0.942610
Fold 7: 0.944037
Fold 8: 0.942610
Fold 9: 0.942406
Fold 10: 0.942100
Meso Accuracy: 0.943560

Run 49
Fold 1: 0.944552
Fold 2: 0.945266
Fold 3: 0.943533
Fold 4: 0.943023
Fold 5: 0.944648
Fold 6: 0.935678
Fold 7: 0.943017
Fold 8: 0.942813
Fold 9: 0.944444
Fold 10: 0.946483
Meso Accuracy: 0.943346

Run 50
Fold 1: 0.942106
Fold 2: 0.941188
Fold 3: 0.944450
Fold 4: 0.944756
Fold 5: 0.941590
Fold 6: 0.942202
Fold 7: 0.942406
Fold 8: 0.943527
Fold 9: 0.946177
Fold 10: 0.941896
Meso Accuracy: 0.943030

Run 51
Fold 1: 0.940883
Fold 2: 0.943737
Fold 3: 0.946692
Fold 4: 0.944552
Fold 5: 0.946483
Fold 6: 0.948114
Fold 7: 0.939144
Fold 8: 0.940061
Fold 9: 0.946279
Fold 10: 0.942304
Meso Accuracy: 0.943825

Run 52
Fold 1: 0.942514
Fold 2: 0.941800
Fold 3: 0.947304
Fold 4: 0.944552
Fold 5: 0.944139
Fold 6: 0.941182
Fold 7: 0.943527
Fold 8: 0.944037
Fold 9: 0.943527
Fold 10: 0.943425
Meso Accuracy: 0.943601

Run 53
Fold 1: 0.947916
Fold 2: 0.942819
Fold 3: 0.946387
Fold 4: 0.942921
Fold 5: 0.944139
Fold 6: 0.941488
Fold 7: 0.943527
Fold 8: 0.945668
Fold 9: 0.943629
Fold 10: 0.941998
Meso Accuracy: 0.944049

Run 54
Fold 1: 0.943125
Fold 2: 0.942004
Fold 3: 0.944552
Fold 4: 0.941800
Fold 5: 0.946789
Fold 6: 0.943935
Fold 7: 0.942406
Fold 8: 0.941488
Fold 9: 0.946483
Fold 10: 0.941998
Meso Accuracy: 0.943458

Run 55
Fold 1: 0.940985
Fold 2: 0.949343
Fold 3: 0.941188
Fold 4: 0.944552
Fold 5: 0.946789
Fold 6: 0.944954
Fold 7: 0.939653
Fold 8: 0.942813
Fold 9: 0.946075
Fold 10: 0.943935
Meso Accuracy: 0.944029

Run 56
Fold 1: 0.943431
Fold 2: 0.942921
Fold 3: 0.944144
Fold 4: 0.942717
Fold 5: 0.944954
Fold 6: 0.939959
Fold 7: 0.942712
Fold 8: 0.944241
Fold 9: 0.942813
Fold 10: 0.946279
Meso Accuracy: 0.943417

Run 57
Fold 1: 0.944960
Fold 2: 0.942412
Fold 3: 0.945673
Fold 4: 0.948833
Fold 5: 0.942915
